Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count total super member accounts balance,Average total super member accounts balance,Median total super member accounts balance
2006,68,68,84175,54764,0.85,58,82945,55692,0.22,15,1003,32,68,88634,56634,68,4459,847,0.12,8,30335,16480,0.1,7,23553,9866,0.74,50,32889,18898,112,135706,18647
2007,5184,5184,46529,29682,0.87,4487,47678,32393,0.12,607,-596,-797,5184,48194,30882,5184,1631,300,0.08,420,107982,19632,0.07,355,103521,7819,0.66,3412,15516,8120,7416,45339,3668
2008,6218,6218,65810,40057,0.88,5448,55985,42972,0.11,713,-539,-1117,6218,70001,41552,6218,4132,368,0.1,603,52644,19853,0.09,534,27955,7526,0.73,4549,24735,10570,8445,60951,8838
2009,9773,9773,82525,51848,0.83,8104,75763,55908,0.18,1727,-1424,-1319,9773,85780,54202,9773,3113,630,0.09,831,114997,25009,0.08,736,80157,10886,0.79,7691,30354,14803,13067,143271,19813
2010,20756,20756,88233,57746,0.86,17920,79844,61100,0.15,3038,-854,-1047,20756,91581,60486,20756,3259,768,0.11,2363,91905,25192,0.1,2176,52864,11518,0.83,17198,31345,15570,29851,105992,21149
2011,14910,14910,96522,61310,0.83,12309,83593,64198,0.16,2436,1815,-17,14910,101062,64426,14910,4393,880,0.11,1629,99864,27975,0.1,1541,61639,11879,0.84,12455,35418,16378,22127,159994,24346
2015,7789,7789,81428,65837,0.89,6946,79277,69480,0.17,1289,-3031,-2636,7789,84454,68544,7789,2966,1109,0.1,805,62421,23100,0.1,778,36493,10376,0.86,6716,25316,16630,9389,105472,46211
2016,8997,8997,73941,57186,0.87,7860,72097,60680,0.15,1391,-588,-693,8997,76781,59575,8997,2796,863,0.12,1036,77534,23536,0.11,975,47118,10118,0.83,7460,23323,14700,12148,92535,27836
2017,14925,14925,66025,54603,0.88,13071,69343,60493,0.15,2176,-4913,-3404,14925,68757,57247,14925,2695,898,0.1,1441,63364,22261,0.09,1307,41001,10444,0.8,11986,20186,14353,17574,64538,22894
2018,9949,9949,57443,46512,0.82,8160,61223,53278,0.18,1773,567,-789,9949,59993,48946,9949,2429,800,0.11,1052,181285,32598,0.1,993,166256,15256,0.77,7666,16833,11323,11690,80970,28221
2019,6805,6805,65432,56017,0.87,5914,67745,60512,0.17,1187,-972,-1676,6805,68454,58586,6805,2972,1390,0.1,661,70923,29521,0.09,630,47094,13881,0.83,5676,18450,13707,7928,108115,57575
2020,10931,10931,57420,48642,0.87,9470,60695,53773,0.17,1861,-1707,-2439,10931,59854,50906,10931,2399,884,0.09,975,56599,26145,0.08,904,39606,11470,0.79,8633,16182,11741,12159,74916,28351
2021,11079,11079,125651,68206,0.78,8673,102196,70122,0.19,2056,1885,460,11079,130995,71786,11079,5168,1037,0.12,1351,161857,33070,0.11,1262,92664,14956,0.84,9318,50601,19319,14086,232174,47324
2022,9543,9543,88690,53625,0.79,7504,81140,56370,0.16,1545,6756,2098,9543,92603,56106,9543,3663,770,0.11,1035,96966,27766,0.1,937,53408,13152,0.8,7624,33121,14911,12427,146566,21419
2023,7454,7454,169334,70356,0.67,5022,106510,62400,0.21,1569,10429,3649,7454,179533,75374,7454,9612,1140,0.14,1007,205214,48543,0.13,968,115157,18930,0.83,6158,77032,20623,8658,460082,54068
2024,7650,7650,117744,63839,0.77,5875,97837,65714,0.2,1517,3629,1758,7650,122924,67470,7650,4833,1054,0.14,1099,146890,35633,0.14,1045,86099,14954,0.82,6305,47229,18436,9281,197674,52486
2025,5364,5364,141215,69040,0.68,3658,106407,68649,0.19,1031,6787,2897,5364,149374,73914,5364,7383,1022,0.13,678,237986,41240,0.12,657,145858,16213,0.8,4308,60988,21194,6308,369223,60703
2026,24881,24881,94839,57397,0.82,20387,83327,60000,0.15,3718,3308,966,24881,98786,60530,24881,3761,904,0.13,3343,84381,28398,0.13,3114,51349,12142,0.82,20501,35463,15726,35207,108513,21107
2027,6089,6089,187769,75897,0.62,3797,112438,71260,0.22,1329,9075,5364,6089,207213,80558,6089,19075,1316,0.12,722,196961,46970,0.11,696,109740,18753,0.82,5006,87772,22521,6802,647555,70518
2028,3505,3505,160378,70043,0.69,2401,99185,67790,0.19,676,10745,3797,3505,168922,74351,3505,8130,1157,0.12,406,164372,36990,0.1,363,113349,18243,0.83,2900,71302,19832,4083,400430,48277
2029,7021,7021,117913,61936,0.7,4904,87453,60000,0.19,1356,9264,3484,7021,123842,65759,7021,5543,1011,0.14,951,154363,43445,0.13,915,97881,18647,0.81,5713,48481,17847,7996,343859,51017
2030,9956,9956,178282,66941,0.63,6282,104638,56180,0.23,2322,11667,5334,9956,187701,72124,9956,8722,796,0.12,1227,287853,47485,0.12,1156,202530,20834,0.81,8032,83011,20889,10563,488436,67249
2031,23425,23425,90205,60489,0.81,19030,83054,64202,0.17,3955,2709,656,23425,94019,63599,23425,3706,1066,0.12,2724,99289,32042,0.11,2521,55475,13990,0.82,19290,32210,16391,28679,146920,43525
2032,8495,8495,62100,43880,0.79,6673,61828,49022,0.2,1731,4661,2199,8495,64750,45999,8495,2472,564,0.09,802,143859,28656,0.09,728,119940,12277,0.73,6176,21379,12120,10653,107812,21686
2033,7380,7380,72478,48570,0.8,5885,68016,52238,0.18,1325,4184,1087,7380,75925,50952,7380,3120,650,0.1,750,121827,30364,0.09,698,73634,13386,0.75,5549,26454,13707,8934,129685,26399
2034,14456,14456,91092,62169,0.81,11773,84667,64979,0.2,2878,4100,1132,14456,95169,65724,14456,3983,1158,0.11,1653,112810,31440,0.11,1601,70037,12627,0.84,12079,32059,16800,18494,155569,37228
2035,21634,21634,75547,51245,0.78,16780,71112,56401,0.22,4673,5223,1396,21634,78604,53764,21634,2963,802,0.11,2279,113283,29314,0.1,2124,80465,12883,0.77,16752,26748,13959,25291,141046,42090
2036,17087,17087,65398,49416,0.81,13857,66624,54563,0.2,3406,1233,-97,17087,68297,51879,17087,2843,982,0.09,1600,146195,33724,0.09,1521,123146,15537,0.78,13356,20556,12447,20054,128330,48254
2037,10483,10483,81235,52875,0.83,8675,74660,56515,0.16,1690,546,-100,10483,84383,55279,10483,3110,700,0.11,1172,82231,23450,0.1,1076,45588,9532,0.79,8243,29507,14552,13782,163068,28734
2038,6205,6205,91942,63374,0.83,5136,86324,66974,0.19,1162,403,-458,6205,95825,66703,6205,3798,1051,0.12,775,82739,27579,0.12,729,44137,12542,0.83,5140,32393,17769,7600,179154,68852
2039,5943,5943,101616,72599,0.81,4831,98881,78583,0.21,1242,-974,-1383,5943,105752,76490,5943,3981,1281,0.12,708,84752,28124,0.11,668,48539,12898,0.84,4973,36704,21213,7414,186569,77271
2040,13449,13449,87522,64599,0.84,11274,86464,69403,0.19,2532,-71,-702,13449,90687,67149,13449,3113,1074,0.12,1621,101289,31711,0.12,1552,65412,12578,0.83,11226,29580,18010,16446,145990,71376
2041,11088,11088,127913,72359,0.76,8472,108501,77097,0.22,2478,495,-492,11088,139396,76590,11088,11150,1187,0.13,1392,114547,32898,0.12,1327,64818,12361,0.82,9134,52499,21818,13517,287256,87839
2042,13403,13403,71213,56437,0.87,11724,70434,59769,0.14,1897,1637,14,13403,73831,58716,13403,2574,780,0.12,1578,62572,21793,0.11,1471,36679,9558,0.83,11129,21702,14187,17612,103780,33208
2043,6057,6057,82040,70034,0.9,5472,82744,74001,0.16,998,-1920,-1774,6057,85107,72986,6057,3028,1155,0.11,690,54533,22605,0.11,642,28850,9911,0.89,5383,24308,17942,7175,107950,52701
2044,5305,5305,65839,54706,0.88,4654,67206,58731,0.15,815,-1091,-1212,5305,68234,56669,5305,2352,930,0.12,611,65910,26950,0.11,569,44560,11022,0.84,4445,18747,13289,6694,89706,42134
2045,4042,4042,96100,54340,0.75,3022,82124,56972,0.26,1065,7542,3693,4042,100257,57168,4042,4003,828,0.11,434,134281,35577,0.1,410,82825,14599,0.79,3186,37571,16312,4468,223640,81011
2046,16655,16655,83192,57998,0.78,13020,80408,64658,0.25,4156,1924,80,16655,86904,60700,16655,3360,983,0.1,1672,158428,32450,0.1,1607,129724,12889,0.8,13299,29401,16491,18877,180916,73844
2047,7920,7920,93589,63528,0.76,6029,86295,68391,0.24,1907,1512,203,7920,97641,67125,7920,3940,1022,0.11,835,184732,36019,0.1,798,140623,14125,0.81,6417,34413,18516,9106,253601,77352
2048,5242,5242,78042,58495,0.86,4501,76046,63138,0.17,914,562,-316,5242,80953,60702,5242,2866,890,0.12,630,69946,23674,0.11,596,41442,9461,0.84,4390,24970,15197,6526,126690,48254
2049,7593,7593,72144,55607,0.86,6538,72333,60358,0.15,1144,581,-261,7593,74835,58157,7593,2652,828,0.12,876,57032,22000,0.11,814,29903,9071,0.82,6224,22618,14513,9474,115377,42807
2050,5729,5729,81260,63365,0.89,5076,78694,66921,0.15,873,-1849,-1621,5729,84276,65892,5729,2951,893,0.11,615,69226,22707,0.1,572,41052,9688,0.83,4748,26947,17054,7083,110022,40832
2052,117,117,24855,13094,0.85,99,24801,11337,0.03,4,-3220,-726,117,25940,13094,117,879,0,0.03,4,67009,15240,0.03,3,73568,9627,0.37,43,10728,5822,153,30094,1737
2060,10970,10970,113216,66459,0.79,8635,92213,71210,0.19,2129,2057,489,10970,117746,69852,10970,4265,844,0.09,960,160533,27078,0.08,874,107530,11752,0.81,8938,45308,19237,13048,271719,47449
2061,4567,4567,122542,71792,0.73,3346,105914,75969,0.21,968,3690,1588,4567,129741,75946,4567,5967,925,0.09,404,173584,32170,0.08,382,96459,13283,0.83,3770,49269,21536,5441,401276,51694
2062,4752,4752,107131,72124,0.78,3711,100477,78604,0.2,944,1964,51,4752,111666,76130,4752,4359,1154,0.11,509,119525,33267,0.1,491,67665,12423,0.83,3949,40155,20826,5570,251009,85266
2063,4261,4261,169365,68593,0.64,2721,127245,66239,0.24,1005,6589,3705,4261,176396,73574,4261,6713,879,0.1,427,204744,45406,0.1,413,116539,19220,0.79,3355,80587,23438,4521,468423,118284
2064,6351,6351,83072,56116,0.81,5130,80010,62936,0.2,1277,-1390,-1701,6351,86161,58340,6351,2976,720,0.09,573,88195,24119,0.08,536,46382,10066,0.79,5007,29985,15906,7320,170813,44297
2065,21695,21695,97501,68225,0.8,17460,92103,73452,0.19,4197,54,-396,21695,101331,71263,21695,3743,900,0.09,1908,127087,28555,0.08,1803,82931,11069,0.83,18060,34963,19262,25038,215799,58724
2066,21168,21168,99324,62562,0.78,16571,92181,67091,0.2,4280,839,-757,21168,103491,65760,21168,3949,906,0.09,1994,147200,32558,0.09,1878,82654,13388,0.81,17057,38035,18283,23473,241102,67298
2067,17155,17155,70091,44712,0.73,12501,72756,53729,0.23,4003,48,-445,17155,72620,46637,17155,2447,419,0.08,1450,101987,29504,0.08,1340,70366,13005,0.72,12356,26192,13758,18978,142958,28321
2068,10973,10973,114502,61094,0.72,7910,105435,66413,0.22,2393,2814,907,10973,119150,64704,10973,4381,810,0.09,1036,153443,36438,0.09,996,95520,13874,0.78,8580,48488,20217,11997,272635,93933
2069,9413,9413,116849,56640,0.69,6477,100928,59747,0.24,2222,3296,940,9413,122130,60300,9413,5090,740,0.09,893,204369,36873,0.09,806,145065,16438,0.77,7228,51124,18551,10076,343223,88274
2070,9222,9222,113215,57128,0.68,6296,97901,60989,0.23,2148,1241,-65,9222,118282,60552,9222,4929,678,0.09,813,196851,38878,0.08,763,134713,15292,0.76,7000,49593,19147,9445,316101,84868
2071,8969,8969,107590,53849,0.65,5834,98459,58992,0.26,2297,2669,278,8969,112498,57166,8969,4425,572,0.09,808,232146,44175,0.09,777,155861,16632,0.74,6638,48140,18284,9214,331357,69644
2072,5351,5351,90891,49463,0.7,3722,85038,56151,0.23,1225,683,35,5351,95230,52087,5351,4086,516,0.08,445,202040,37203,0.08,423,149394,14581,0.73,3909,38726,16822,5497,261134,58197
2073,10724,10724,104469,57023,0.72,7709,95223,62724,0.24,2547,-112,-123,10724,108689,60206,10724,4052,696,0.09,938,201600,40060,0.08,881,132945,17556,0.75,8085,44554,19597,11453,306051,94235
2074,14644,14644,100029,54802,0.68,9930,94338,64253,0.2,2960,332,-144,14644,103919,57514,14644,3732,690,0.08,1236,167449,31593,0.08,1162,116868,13060,0.74,10813,42705,19115,15304,303794,98021
2075,13643,13643,92670,51899,0.68,9244,92351,61904,0.2,2781,50,-280,13643,96761,55000,13643,3962,637,0.09,1194,153018,39175,0.08,1129,115609,14990,0.73,10019,38584,17973,14234,276052,82030
2076,15744,15744,92932,54178,0.71,11202,87093,61696,0.22,3426,-1342,-964,15744,96745,56970,15744,3690,702,0.09,1382,349113,31602,0.08,1331,291400,12884,0.75,11797,37830,17511,16743,257887,82185
2077,24696,24696,59469,48018,0.81,20040,64264,55235,0.17,4254,-2405,-1768,24696,61463,49860,24696,1953,610,0.09,2120,137008,24168,0.08,2013,118467,10049,0.75,18632,18244,12782,26900,108396,40628
2079,4603,4603,64082,50844,0.81,3727,68394,57614,0.17,791,-2790,-1440,4603,66450,52696,4603,2345,715,0.09,422,66012,33116,0.09,413,42286,12308,0.78,3595,19572,13579,5209,146406,69476
2080,1095,1095,60418,45576,0.78,859,64102,53120,0.19,206,-1585,-864,1095,62609,48125,1095,2140,607,0.11,115,58783,24330,0.1,109,33389,11892,0.73,798,19586,13930,1217,150351,73951
2081,3442,3442,65481,50758,0.82,2821,69122,56753,0.18,609,-2105,-1271,3442,67848,53006,3442,2316,712,0.09,320,58703,25899,0.09,309,32255,9760,0.78,2689,20452,13611,3895,151402,77800
2082,3352,3352,66538,49949,0.81,2702,67871,57282,0.16,546,-1275,-1131,3352,68743,51987,3352,2193,656,0.09,307,69107,32533,0.09,302,39174,12720,0.76,2555,21787,13885,3814,157137,85650
2083,1055,1055,62178,45070,0.74,781,64256,50867,0.2,210,1536,1124,1055,64775,47145,1055,2469,617,0.14,149,66589,25404,0.13,138,48643,12204,0.73,768,20598,11671,1240,172122,74185
2084,2468,2468,101705,52496,0.71,1757,79757,53755,0.2,484,3623,927,2468,108226,55218,2468,6282,615,0.1,249,117651,32669,0.1,239,81122,13005,0.75,1862,43715,16300,2718,323856,83484
2085,7282,7282,72783,46582,0.71,5143,76932,55640,0.17,1248,1748,330,7282,75873,49034,7282,3033,605,0.08,605,88993,29714,0.08,578,60747,12060,0.72,5215,27454,14999,7927,207945,88401
2086,8502,8502,75756,50741,0.77,6565,77346,57597,0.19,1647,733,-246,8502,78542,53273,8502,2698,709,0.1,836,79620,33917,0.09,804,51994,15322,0.75,6416,27326,15308,9653,173415,79996
2087,7890,7890,79171,49460,0.71,5626,83755,58984,0.21,1691,1904,517,7890,82221,51578,7890,2994,640,0.09,744,102655,33296,0.09,713,69721,15521,0.74,5843,30002,15862,8677,207226,80817
2088,20182,20182,158897,68578,0.67,13579,126657,68786,0.2,3993,4077,1961,20182,168652,73406,20182,9300,1018,0.1,1955,158075,35746,0.09,1845,92116,14613,0.8,16137,72216,21816,22389,469867,87997
2089,9033,9033,100710,66474,0.78,7041,94905,71775,0.18,1634,646,-20,9033,105455,69699,9033,4624,1030,0.1,885,140756,27670,0.09,837,103866,10203,0.82,7451,37272,18752,10710,243898,57564
2090,9424,9424,113285,68764,0.76,7193,101826,73700,0.19,1791,2722,657,9424,118184,72244,9424,4685,972,0.1,952,107489,28606,0.1,917,55704,11580,0.81,7674,44884,20387,11066,287946,73120
2092,4655,4655,124729,59739,0.72,3361,106335,61624,0.21,966,3231,1573,4655,130051,63282,4655,5060,777,0.09,419,125503,40390,0.09,396,79133,14682,0.78,3620,54906,20605,5165,297197,92853
2093,15063,15063,101350,56328,0.75,11329,94175,59976,0.18,2651,2830,1086,15063,105186,59279,15063,3747,856,0.11,1604,103340,30548,0.1,1503,70117,11924,0.79,11841,40778,16997,17011,220717,71959
2094,4333,4333,103351,63801,0.76,3303,95553,68175,0.18,790,4429,1027,4333,107367,67776,4333,3925,979,0.1,449,96606,32410,0.1,423,65784,11938,0.8,3487,40039,19234,4965,244819,67590
2095,12323,12323,112527,62188,0.78,9602,94849,63956,0.17,2132,4174,1330,12323,116933,65222,12323,4259,822,0.11,1313,186283,29067,0.1,1246,155194,11644,0.81,9972,45650,18480,15912,219626,34648
2096,10108,10108,93695,59932,0.8,8107,87476,63162,0.19,1908,1353,-76,10108,97503,63248,10108,3697,970,0.12,1186,103189,30816,0.11,1134,66670,12504,0.83,8358,33825,16192,12013,174849,55065
2097,10464,10464,81898,51689,0.77,8007,74205,54292,0.2,2087,1826,346,10464,85538,54266,10464,3536,713,0.11,1131,78677,31510,0.1,1077,50067,13109,0.79,8232,29880,14027,11866,186376,60399
2099,26514,26514,65837,48106,0.81,21353,65343,52108,0.16,4121,1057,-241,26514,68426,50127,26514,2526,712,0.11,2938,76482,32080,0.11,2815,50566,13091,0.78,20760,20968,11694,30320,120449,45847
2100,13875,13875,71830,49963,0.79,10897,72500,53927,0.19,2570,3381,759,13875,74558,52119,13875,2678,688,0.11,1579,190129,32300,0.11,1520,168010,13714,0.78,10879,24012,13232,15740,139203,57765
2101,12619,12619,71670,49649,0.74,9376,68616,54166,0.19,2355,2214,496,12619,74829,52263,12619,3052,705,0.12,1536,100121,35929,0.12,1466,71455,15556,0.78,9785,24165,13225,13993,174608,62634
2102,4747,4747,74929,51257,0.77,3663,72600,56748,0.18,835,1162,-97,4747,77839,53668,4747,2849,768,0.1,492,81615,35776,0.1,478,51130,14522,0.79,3741,25741,13650,5161,155716,67433
2103,7407,7407,73673,48687,0.71,5277,70381,52763,0.19,1437,3938,1192,7407,77044,51287,7407,3075,670,0.11,795,101289,38191,0.11,781,66773,14436,0.75,5573,26408,13483,8098,230816,73180
2104,2411,2411,95246,47671,0.59,1428,79797,50659,0.19,447,6676,3587,2411,100222,51005,2411,4559,658,0.1,232,172792,31748,0.1,232,139780,14405,0.72,1744,40152,15014,2486,449734,108585
2105,1398,1398,99047,52054,0.64,895,79270,55838,0.19,270,5837,2520,1398,103370,54874,1398,4238,632,0.14,197,97885,30019,0.13,185,66279,15334,0.75,1054,41736,15981,1608,339044,96835
2106,6769,6769,88175,49269,0.72,4880,70663,50647,0.18,1245,2721,1080,6769,92923,52180,6769,4543,660,0.12,833,97548,36716,0.12,793,68096,16546,0.77,5203,34749,13587,7601,260300,69305
2107,10219,10219,84194,47583,0.68,6943,73224,49793,0.19,1923,4063,1500,10219,88467,50596,10219,4030,647,0.14,1442,93666,34310,0.13,1372,62511,14642,0.74,7579,33547,14099,11464,292515,71337
2108,1279,1279,230330,52234,0.54,690,77365,45874,0.22,280,8317,5849,1279,239276,57240,1279,7965,656,0.12,148,197686,42275,0.11,139,136113,20630,0.73,933,130086,18745,1400,859572,110917
2110,6104,6104,156069,65705,0.68,4121,106208,63191,0.26,1568,5268,1714,6104,164270,69854,6104,7885,826,0.1,601,237519,50090,0.09,577,149654,23795,0.79,4811,73076,21346,6616,481387,105154
2111,9312,9312,87513,57628,0.77,7176,79855,61656,0.21,1970,2193,384,9312,90951,60083,9312,3402,854,0.1,925,176891,33530,0.09,883,131812,13108,0.8,7419,32034,16481,10476,202014,71018
2112,20739,20739,64746,48206,0.79,16483,66445,54463,0.22,4513,-710,-896,20739,67382,50435,20739,2552,694,0.09,1969,115925,31685,0.09,1878,90232,13304,0.76,15822,20972,12736,22423,127760,44389
2113,13108,13108,65350,51142,0.81,10592,69275,58271,0.2,2660,-2094,-1568,13108,67822,53168,13108,2422,650,0.08,1056,155478,24978,0.08,1010,134100,10066,0.76,9915,21279,14304,14582,121492,43417
2114,15461,15461,60221,48574,0.81,12549,64517,55156,0.21,3206,-1623,-1832,15461,62427,50440,15461,2119,641,0.09,1333,85000,25450,0.08,1244,66384,11436,0.76,11799,18450,12744,17189,115950,36595
2115,6462,6462,58087,47350,0.83,5346,61215,53696,0.2,1265,-2650,-2513,6462,60338,49284,6462,2238,700,0.09,613,68575,30035,0.09,589,46273,12887,0.77,4989,16991,11750,7289,94511,39528
2116,3775,3775,54654,45287,0.82,3077,59979,52850,0.17,642,-2200,-1710,3775,57026,47532,3775,2320,711,0.11,405,57701,26902,0.1,374,39841,11460,0.76,2856,15607,11374,4296,92818,37901
2117,12231,12231,56133,43284,0.78,9515,59208,50400,0.21,2545,-1963,-1607,12231,59142,45266,12231,2944,550,0.1,1212,134320,30536,0.09,1131,118526,14057,0.74,9048,17560,11253,13485,118184,38304
2118,15327,15327,55197,40969,0.74,11270,60940,50888,0.25,3856,-1685,-1636,15327,57347,42786,15327,2106,465,0.1,1493,103380,31276,0.09,1385,82908,12835,0.7,10749,18022,11392,16045,137690,41045
2119,7801,7801,85771,53041,0.72,5578,82017,60524,0.26,2001,-781,-651,7801,89562,55830,7801,3724,714,0.09,667,136429,37900,0.08,635,80646,15174,0.74,5799,33869,17915,8228,294655,102673
